1,5,1
2,5,2
3,5,3
4,5,4
5,5,21
6,5,22
7,5,23
8,5,24
9,5,49
10,5,50
11,5,51
12,5,52
13,5,53
14,5,54
15,5,55
16,5,56
17,5,57
18,5,58
19,5,59
20,6,49
21,6,60
22,6,61
23,6,62
24,6,63
25,6,64
26,6,65
27,6,66
28,6,67
29,6,68
30,6,69
31,6,70
32,6,71
33,6,72
34,6,73
35,6,74
36,6,75
37,6,76
38,6,77
39,7,49
40,7,96
41,7,97
42,7,98
43,7,99
44,7,100
45,7,101
46,7,102
47,7,103
48,7,104
49,7,105
50,7,106
51,7,107
52,7,108
53,7,109
54,7,110
55,7,111
56,7,112
57,7,113
58,8,49
59,8,78
60,8,79
61,8,80
62,8,81
63,8,82
64,8,83
65,8,84
66,8,85
67,8,86
68,8,87
69,8,88
70,8,89
71,8,90
72,8,91
73,8,92
74,8,93
75,8,94
76,8,95
77,9,25
78,9,26
79,9,27
80,10,28
81,10,29
82,10,30
83,11,33
84,11,34
85,11,35
86,11,36
87,13,31
88,13,32
89,22,37
90,22,38
91,23,39
92,23,40
93,23,41
94,26,42
95,26,43
96,26,44
97,27,45
98,27,46
99,28,47
100,28,48
101,31,5
102,31,12
103,31,13
104,31,14
105,32,6
106,32,7
107,32,12
108,32,15
109,32,16
110,33,8
111,33,9
112,33,12
113,33,17
114,33,18
115,34,10
116,34,11
117,34,12
118,34,19
119,34,20
120,47,49
121,47,115
122,47,116
123,47,117
124,47,118
125,47,119
126,47,120
127,47,121
128,47,122
129,47,123
130,41,124
131,41,125
132,41,126
133,39,127
134,39,128
135,39,129
136,48,130
137,48,131
138,48,132
139,40,133
