id,nombre,descripcion,categoria,unidad_medida_default,fecha_alta,activo,marca,cantidad_por_unidad,,,,,Precio
59,Detergente en Polvo,Por definir,Limpieza,Kg,18/7/2025,t,Roma,1,,,,,
60,Dulces Tehuanos,Por definir,Dulces,bolsa,19/7/2025,t,Por definir,1,,,,,
61,Elote,Por definir,Frutas y Verduras,pieza,20/7/2025,t,Por definir,1,,,,,7.5
62,Epazote,Por definir,Especias y Condimientos,Kg,21/7/2025,t,Por definir,1,,,,,
63,Esencia de Arándano,Por definir,Suministros,Kg,22/7/2025,t,Por definir,1,,,,,
64,Esencia de Uva,Por definir,Suministros,Kg,23/7/2025,t,Por definir,1,,,,,
65,Mezcal Espadín 42°,Por definir,Mezcal,Lt,24/7/2025,t,Por definir,1,,,,,
66,Mezcal Espadín 49°,Por definir,Mezcal,Lt,25/7/2025,t,Por definir,1,,,,,
67,Fibra Metalica,Por definir,Limpieza,Pieza,26/7/2025,t,Por definir,1,,,,,10
68,Finca las Moras ,Vino,Bebidas y Gaseosas,6 Piezas,27/7/2025,t,Por definir,1,,,,,
69,Frijol Negro,Por definir,Proteínas,Kg,29/7/2025,t,Michigan,1,,,,,33
70,Frijoles Refritos,Frijoles negros hervidos y refritos.,Alimentos Preparados,l,30/7/2025,t,David Loro,1,,,,,
71,Fruta Curado Carta,Por definir,Frutas y Verduras,Kg,31/7/2025,t,Por definir,1,,,,,
72,Fruta Curado Especial,Por definir,Frutas y Verduras,Kg,1/8/2025,t,Por definir,1,,,,,
73,Fruta Mezcal,Por definir,Frutas y Verduras,Kg,2/8/2025,t,Por definir,1,,,,,
74,Fruta Curado Temporada,Fruta de la que se compra mucha a bajo precio para que funja como el sabor del curado de temporada,Frutas y Verduras,Kg,3/8/2025,t,Por definir,1,,,,,
75,Galleta animalito,Por definir,Suministros,Gr,4/8/2025,t,Por definir,1,,,,,41
76,Gas,Por definir,Suministros,mes,5/8/2025,t,Por definir,1,,,,,
77,Pulpa de Guanábana ,Por definir,Especias y Condimientos,Kg,6/8/2025,t,Por definir,1,,,,,83
78,Heroica Mutante,Por definir,Cerveza Artesanal,pieza,7/8/2025,t,Por definir,1,,,,,
79,Hierbabuena,Por definir,Especias y Condimientos,Kg,8/8/2025,t,Por definir,1,,,,,
80,Hoja de Aguacate,Por definir,Especias y Condimientos,Kg,9/8/2025,t,Por definir,1,,,,,
81,Hoja de Pimienta,Por definir,Especias y Condimientos,Kg,10/8/2025,t,Por definir,1,,,,,
82,Huitlacoche,Por definir,Proteínas,Kg,11/8/2025,t,Por definir,1,,,,,45
83,Huitlacoche Cocinado,Huitlachoche refrito,Alimentos Preparados,kg,12/8/2025,t,David Loro,1,,,,,
84,Imperial Stout,Por definir,Cerveza Artesanal,pieza,13/8/2025,t,Por definir,1,,,,,
85,Jabón Manos,Por definir,Limpieza,Lt,14/8/2025,t,A granel,1,,,,,
86,Jabón Trastes,Por definir,Limpieza,Lt,15/8/2025,t,A granel,1,,,,,
87,Jarabes,Por definir,Suministros,Kg,16/8/2025,t,Por definir,1,,,,,
88,Jitomate,Por definir,Frutas y Verduras,Kg,17/8/2025,t,Por definir,1,,,,,16
89,Jugo Maggi 800ml,Botella 800ml,Suministros,unidad,18/8/2025,t,Maggi,1,,,,,800ml  230
90,Laurel,Por definir,Especias y Condimientos,Kg,19/8/2025,t,Por definir,1,,,,,
91,Lavanda,Por definir,Especias y Condimientos,Kg,20/8/2025,t,Por definir,1,,,,,
92,Leche Alpura Deslactosada,Caja individual,Lácteos,Lt,21/8/2025,t,Alpura,1,,,,,Lt alpura deslac 26
93,Lechuga China,Por definir,Frutas y Verduras,Pieza,23/8/2025,t,Por definir,1,,,,,China 20
94,Leviatán,Por definir,Cerveza Artesanal,pieza,24/8/2025,t,Por definir,1,,,,,
95,Licor Blanco 50lts.,"Licor de Caña de Mahuixtlán, Veracruz.
",Bebidas Artesanales,Lt,25/8/2025,t,El Cañero,1,,,,,
96,Limón C/Semilla,Por definir,Frutas y Verduras,Kg,26/8/2025,t,Por definir,1,,,,,20
97,Limón S/Semilla,Por definir,Frutas y Verduras,Kg,27/8/2025,t,Por definir,1,,,,,12
98,Limpiador Aromatizante,Por definir,Limpieza,Lt,28/8/2025,t,A granel,1,,,,,
99,Mamey,Por definir,Frutas y Verduras,Kg,13/7/2025,t,Por definir,1,,,,,
